,total in seconds,datetime(utc),channels,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_RadioId,VenusTrigger_Frequency,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation,DJI OcuSync,DJI Mavic Mini,Cheerson Leopard 2,DJI Mavic Pro long,nan,DJI Mavic Pro short,Hubsan,Futaba FASST-7CH Var. 1,"AscTec Falcon 8 Downlink, DJI Mavic Mini",DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,"DJI Mavic Mini, MJX R/C Technic",Udi R/C 818A,MJX R/C Technic,TT Robotix Ghost,Udi R/C,"DJI Mini, DJI Phantom 4 Pro/Mavic Pro, DJI Phantom 4/Mavic Pro","DJI Mavic Pro long, DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G",Spektrum DSMX downlink,Spektrum DSMX 12CH uplink,MJX X901,"DJI Mavic Pro long, DJI Phantom 4/Mavic Pro,DJI Phantom/Mavic Pro",AscTec Falcon 8 Downlink,VenusName NaN,ISM 2.4 GHz,ISM 5.8 GHz,FreqBand_Null
0,1601380711,2020-09-29 11:58:31,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391212344898.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
1,1601380711,2020-09-29 11:58:31,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391212389554.0,169.1,0.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
2,1601380712,2020-09-29 11:58:32,0.0,0.0,FHSS,189,2440000000.0,1601391130512419.0,1601391213573616.0,159.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
3,1601380712,2020-09-29 11:58:32,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391213589751.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
4,1601380719,2020-09-29 11:58:39,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391220797104.0,325.2,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
5,1601380719,2020-09-29 11:58:39,0.0,0.0,FHSS,188,2440000000.0,1601390327937672.0,1601391220787847.0,349.8,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
6,1601380720,2020-09-29 11:58:40,0.0,0.0,FHSS,189,2440000000.0,1601391130512419.0,1601391221789464.0,59.2,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
7,1601380720,2020-09-29 11:58:40,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391221793227.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
8,1601380721,2020-09-29 11:58:41,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391223303560.0,185.8,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
9,1601380722,2020-09-29 11:58:42,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391223799448.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
10,1601380726,2020-09-29 11:58:46,0.0,0.0,FHSS,188,2440000000.0,1601390327937672.0,1601391228220964.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
11,1601380742,2020-09-29 11:59:02,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391243733337.0,165.6,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
12,1601380742,2020-09-29 11:59:02,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391244064170.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
13,1601380780,2020-09-29 11:59:40,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391281965540.0,46.3,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
14,1601380780,2020-09-29 11:59:40,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391282439523.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
15,1601380781,2020-09-29 11:59:41,0.0,0.0,FHSS,189,2440000000.0,1601391130512419.0,1601391282868688.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
16,1601380787,2020-09-29 11:59:47,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391288955768.0,145.8,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
17,1601380788,2020-09-29 11:59:48,0.0,0.0,FHSS,187,2440000000.0,1601389647219057.0,1601391288959212.0,145.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
18,1601380788,2020-09-29 11:59:48,0.0,0.0,FHSS,187,2440000000.0,1601389647219057.0,1601391289720719.0,144.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
19,1601380788,2020-09-29 11:59:48,0.0,0.0,FHSS,189,2440000000.0,1601391130512419.0,1601391288785046.0,145.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
20,1601380788,2020-09-29 11:59:48,0.0,0.0,FHSS,189,2440000000.0,1601391130512419.0,1601391289954337.0,143.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
21,1601380788,2020-09-29 11:59:48,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391289945765.0,143.5,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
22,1601380788,2020-09-29 11:59:48,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391288971578.0,145.7,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
23,1601380788,2020-09-29 11:59:48,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391289971584.0,143.7,0.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
24,1601380789,2020-09-29 11:59:49,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391291118946.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
25,1601380789,2020-09-29 11:59:49,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391291140330.0,324.9,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
26,1601380789,2020-09-29 11:59:49,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391290939852.0,329.8,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
27,1601380791,2020-09-29 11:59:51,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391291140330.0,324.9,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
28,1601380800,2020-09-29 12:00:00,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391302186466.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
29,1601380803,2020-09-29 12:00:03,0.0,0.0,FHSS,187,2440000000.0,1601389647219057.0,1601391303596908.0,120.2,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
30,1601380803,2020-09-29 12:00:03,0.0,0.0,FHSS,188,2440000000.0,1601390327937672.0,1601391303578651.0,95.3,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
31,1601380803,2020-09-29 12:00:03,0.0,0.0,FHSS,189,2440000000.0,1601391130512419.0,1601391303743620.0,162.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
32,1601380803,2020-09-29 12:00:03,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391303643213.0,142.4,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
33,1601380803,2020-09-29 12:00:03,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391304638271.0,138.6,2.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
34,1601380803,2020-09-29 12:00:03,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391303747492.0,132.0,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
35,1601380804,2020-09-29 12:00:04,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391306012688.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
36,1601380804,2020-09-29 12:00:04,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391305837296.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
37,1601380804,2020-09-29 12:00:04,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391304731934.0,139.3,2.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
38,1601380804,2020-09-29 12:00:04,0.0,0.0,FHSS,188,2440000000.0,1601390327937672.0,1601391306013059.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
39,1601380804,2020-09-29 12:00:04,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391305635267.0,143.1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
40,1601380804,2020-09-29 12:00:04,0.0,0.0,FHSS,187,2440000000.0,1601389647219057.0,1601391304511592.0,138.7,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
41,1601380805,2020-09-29 12:00:05,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391306810577.0,140.0,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
42,1601380874,2020-09-29 12:01:14,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391376248665.0,136.7,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
43,1601380895,2020-09-29 12:01:35,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391394728239.0,162.4,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
44,1601380895,2020-09-29 12:01:35,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391394745656.0,162.4,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
45,1601380896,2020-09-29 12:01:36,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391395228116.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
46,1601380896,2020-09-29 12:01:36,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391395528087.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
47,1601380898,2020-09-29 12:01:38,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391399697195.0,69.9,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
48,1601380911,2020-09-29 12:01:51,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391413212178.0,167.5,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
49,1601380912,2020-09-29 12:01:52,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391413583808.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
50,1601380912,2020-09-29 12:01:52,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391413920848.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
51,1601380930,2020-09-29 12:02:10,0.0,0.0,FHSS,187,2440000000.0,1601389647219057.0,1601391431880713.0,72.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
52,1601380930,2020-09-29 12:02:10,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391431950529.0,72.2,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
53,1601380931,2020-09-29 12:02:11,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391433350390.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
54,1601380941,2020-09-29 12:02:21,0.0,0.0,FHSS,189,2440000000.0,1601391130512419.0,1601391443238786.0,153.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
55,1601380941,2020-09-29 12:02:21,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391443232447.0,153.4,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
56,1601380941,2020-09-29 12:02:21,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391443237214.0,153.4,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
57,1601380942,2020-09-29 12:02:22,0.0,0.0,FHSS,189,2440000000.0,1601391130512419.0,1601391444232655.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
58,1601380942,2020-09-29 12:02:22,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391444181123.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
59,1601380942,2020-09-29 12:02:22,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391444213860.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
60,1601380944,2020-09-29 12:02:24,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391445392672.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
61,1601380944,2020-09-29 12:02:24,0.0,0.0,FHSS,186,2440000000.0,1601390540422472.0,1601391445132652.0,132.4,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
62,1601380954,2020-09-29 12:02:34,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391455556051.0,327.8,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
63,1601380962,2020-09-29 12:02:42,0.0,1.0,FHSS,185,2440000000.0,1601370481734079.0,1601391460765721.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
64,1601380988,2020-09-29 12:03:08,0.0,0.0,FHSS,187,2440000000.0,1601389647219057.0,1601391489612401.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
